"Specification","Schema","Title","Namespace","Supported","Missing","Refactored","Torefactor","Coverage"
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Citation and responsible party information (CIT) Version: 2.0","CIT",11,5,11,5,68.75
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Geospatial COmmon Objects (GCO) Version: 1.0","GCO",22,2,22,2,91.67
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Geospatial Common eXtension (GCX) Version: 1.0","GCX",3,0,3,0,100
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Geospatial EXtent (GEX) Version: 1.0","GEX",8,0,8,0,100
"ISO/TS 19115-3:2016","ISO 19115-1:2014","metadata for LANguage and localization (LAN) Version: 1.0","LAN",7,0,7,0,100
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for ACquisition (MAC) Version: 2.0","MAC",0,24,0,24,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Application Schemas (MAS) Version: 2.0","MAS",1,0,1,0,100
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata Common Classes (MCC) Version: 1.0","MCC",6,25,6,25,19.35
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for COnstraints (MCO) Version: 1.0","MCO",5,1,5,1,83.33
"ISO/TS 19115-3:2016","ISO 19115-1:2014","MetaData Base (MDB) Version: 2.0","MDB",2,0,2,0,100
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Maintenance Information (MMI) Version: 1.0","MMI",0,2,0,2,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Portrayal Catalogues (MPC) Version: 1.0","MPC",0,1,0,1,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Resource Content (MRC) Version: 1.0","MRC",0,19,0,19,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Resource Distribution (MRD) Version: 1.0","MRD",0,7,0,7,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Resource Identification (MRI) Version: 1.0","MRI",0,12,0,12,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Resource Lineage (MRL) Version: 2.0","MRL",0,11,0,11,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Reference Systems (MRS) Version: 1.0","MRS",0,2,0,2,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for Spatial Representation (MSR) Version: 2.0","MSR",0,17,0,17,0
"ISO/TS 19115-3:2016","ISO 19115-1:2014","Metadata for SeRVices (SRV) Version: 2.0","SRV",7,1,0,8,87.5
"ISO/TS 19115-3:2016","ISO 19157","Data Quality abstract Classes (DQC) Version 1.0","DQC",0,2,0,2,0
"ISO/TS 19115-3:2016","ISO 19157","Metadata for Data Quality (MDQ) Version: 1.0","MDQ",0,43,0,43,0
"ISO/TS 19115-3:2016","ISO/TS 19139:2007","CATalogue Objects (CAT) Version: 1.0","CAT",2,15,2,15,11.76
"ISO/TS 19115-3:2016","ISO/TS 19139:2007","Feature Catalog Common (FCC) Version: 1.0","FCC",0,2,0,2,0
"ISO/TS 19139:2007","ISO 19110:2005","Geographic Information - Methodology for feature cataloguing","GFC",17,0,0,17,100
"ISO/TS 19139:2007","ISO 19115-1:2003","Geographic Information - Metadata","GMD",132,0,39,93,100
"ISO/TS 19139:2007","ISO 19115-2:2009","Geographic Information - Metadata - Part 2: Extensions for imagery and gridded data","GMI",40,0,0,40,100
"ISO/TS 19139:2007","ISO 19119:2005","Geographic Information - Service Metadata","SRV",7,12,0,19,36.84
"ISO/TS 19139:2007","ISO/TS 19103:2005","Geographic Common extensible markup language","GCO",22,0,22,0,100
"ISO/TS 19139:2007","ISO/TS 19139:2007","Geographic Metadata XML Schema","GMX",10,56,8,58,15.15
"ISO/TS 19139:2007","ISO/TS 19139:2007","Geographic Metadata XML Schema - Geographic Temporal Schema (GTS)","GTS",0,1,0,1,0
"GML 3.2.1 (ISO 19136)","GML 3.2.1 (ISO 19136)","Geographic Markup Language","GML",62,107,0,169,36.69
"GML 3.2.1 Coverage (OGC GMLCOV)","GML 3.2.1 Coverage (OGC GMLCOV)","OGC GML Coverage Implementation Schema","GMLCOV",1,4,0,5,20
"GML 3.3 Referenceable Grid (OGC GML)","GML 3.3 Referenceable Grid (OGC GML)","OGC GML Referenceable Grid","GMLRGRID",5,0,0,5,100
"SWE 2.0","SWE 2.0","Sensor Web Enablement (SWE) Common Data Model","SWE",18,12,0,30,60
