geometa,ncdf,eml,ncdf_to_geometa,eml_to_geometa,geometa_to_eml,note
$fileIdentifier,$id,$packageId,ok,ok,ok,
$contact*/ISOResponsibleParty$individualName[$role/ISORole$value=pointOfContact|item=1|sep= |index=1],,$dataset/$contact/$individualName/$givenName,?,ok,ok,
$contact*/ISOResponsibleParty$individualName[$role/ISORole$value=pointOfContact|item=1|sep= |index=2],,$dataset/$contact/$individualName/$surName,?,ok,ok,
$contact*/ISOResponsibleParty$organisationName[$role/ISORole$value=pointOfContact],,$dataset/$contact/$organizationName,?,ok,ok,
$contact*/ISOResponsibleParty$positionName[$role/ISORole$value=pointOfContact],,$dataset/$contact/$positionName,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$phone/ISOTelephone$voice,,$dataset/$contact/$phone,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$address/ISOAddress$electronicMailAddress,,$dataset/$contact/$electronicMailAddress,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$onlineResource/ISOOnlineResource$linkage/ISOURL$value,,$dataset/$contact/$onlineUrl,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$address/ISOAddress$deliveryPoint,,$dataset/$contact/$address/$deliveryPoint,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$address/ISOAddress$city,,$dataset/$contact/$address/$city,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$address/ISOAddress$postalCode,,$dataset/$contact/$address/$postalCode,?,ok,ok,
$contact*/ISOResponsibleParty$contactInfo[$role/ISORole$value=pointOfContact|item=1]/ISOContact$address/ISOAddress$country,,$dataset/$contact/$address/$country,?,ok,ok,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$title,$title,$dataset/$title,ok,ok,ok,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$alternateTitle,$title_short_name,,ok,?,?,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$date*/ISODate$date[$dateType/ISODateType$value=creation|item=1]/ISOBaseDate$value,$date_created,,validation issue,?,?,- catch errors when ambiguous values are retrieved from source
$identificationInfo*/ISODataIdentification$citation/ISOCitation$date*/ISODate$date[$dateType/ISODateType$value=publication|item=1]/ISOBaseDate$value,$date_issued,$dataset/$pubDate,validation issue,ok,ok,- catch errors when ambiguous values are retrieved from source
$identificationInfo*/ISODataIdentification$supplementalInformation,$comment,,ok,?,?,
$identificationInfo*/ISODataIdentification$abstract,$summary,$dataset/$abstract/$para,ok,ok,ok,
$identificationInfo*/ISODataIdentification$purpose,,$dataset/$purpose,?,ok,ok,
$identificationInfo*/ISODataIdentification$credit,$acknowledgment,,ok,?,?,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$citedResponsibleParty/ISOResponsibleParty$individualName,$creator_name,,ok,NA,NA,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$citedResponsibleParty/ISOResponsibleParty$individualName[sep= |index=1],,$dataset/$creator/$individualName/$givenName,NA,ok,ok,
$identificationInfo*/ISODataIdentification$citation/ISOCitation$citedResponsibleParty/ISOResponsibleParty$individualName[sep= |index=2],,$dataset/$creator/$individualName/$surName,NA,ok,ok,
